% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 10 2025, 13:17
% Dimension:          1
% Nodes:              929
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
58.10252114931528         4.46521749166615E-5
58.1556266662241          4.5075416655345145E-5
58.15664743170453         4.508355197878389E-5
58.16796288632659         4.517373418515072E-5
58.22608557211308         4.563696188719743E-5
58.74716150314092         4.9789846473930304E-5
58.759552430840564        4.988860001375265E-5
58.765015971101825        4.9932143479894966E-5
59.32244442367909         5.43747513539394E-5
59.33869634005768         5.450427630252554E-5
59.35341689259909         5.462159654741774E-5
59.36206905587693         5.469055278471711E-5
59.371810735672796        5.476819227914433E-5
59.93023117697447         5.895512417698836E-5
60.49530917327201         6.274834777346282E-5
60.513774279463945        6.28809123849136E-5
60.544826743425695        6.310384410146542E-5
60.7616913367781          6.466075746351576E-5
61.439746739482615        6.952864991287202E-5
61.569377535697015        7.045929477109013E-5
61.57319317286252         7.048668797712296E-5
61.593151496581754        7.062997268947298E-5
61.59970298077546         7.067700707680458E-5
61.64176288731815         7.097896337807589E-5
61.642215422824236        7.098221221904691E-5
62.42461165638538         7.659918791701076E-5
62.704096788278925        2.7379886054998317E-5
63.2629222551679          -3.2268009905629875E-5
63.311068293955415        -3.299362376912092E-5
63.316174027437214        -3.3070572799425255E-5
63.54621155140336         -3.653749179648555E-5
64.1478313379178          -5.777714533931125E-5
64.22605151018132         -6.808254205455805E-5
64.23415086210636         -3.8818493400911484E-5
64.40556929253715         -1.1605790038795779E-5
64.50147109770033         -1.264527101382465E-5
64.52940626635424         -1.2948060688122837E-5
65.06967248698524         -1.8804013627135504E-5
65.56420040554792         -2.4164208486993722E-5
65.61607499378187         -2.4726477856896346E-5
65.71960229583212         -2.584861169686068E-5
65.90519411186409         -2.7860243924462935E-5
66.34240067000458         -3.259913177469813E-5
66.44132344358701         -3.367135706762202E-5
66.72283151855864         -3.672262693416493E-5
66.74071573674294         -3.691647421915614E-5
66.78696213799674         -3.741773959357323E-5
66.90236183755653         -3.866855851218362E-5
66.90979832530996         -3.8749162704443E-5
67.57623736162184         -4.597270451625873E-5
67.8814626315694          -4.178303453464957E-5
68.00119437953437         -3.355183278132859E-5
68.18378798989819         -2.300988242827606E-4
68.23992567755144         -3.709739285647544E-4
68.24578702004104         -3.118644093086154E-4
68.45930285975012         -1.839913608258082E-4
68.91933318108875         3.643329038785971E-6
68.9474451880633          5.4017006594433585E-6
69.17520916983227         1.9648058883282282E-5
69.50865246326526         4.0504528676354976E-5
69.67466434357362         5.0888368552856424E-5
70.10114761482768         7.756437505450495E-5
70.12010006673853         7.874982771929754E-5
70.13015743273465         7.937890364977919E-5
70.42999550605849         9.81334080640325E-5
70.55800206678039         1.0614006172728796E-4
71.06499096364477         1.3785159655415347E-4
71.18532666854335         1.4537844757702857E-4
71.43911353918564         1.612525056417847E-4
71.60735167029551         1.7177559478026298E-4
71.66482358357612         1.7537039259691992E-4
71.94065783102822         1.9237660174274847E-4
72.61859099185634         1.1480464257614305E-4
72.65582406412831         2.8550706459632048E-5
72.7415960770023          2.3730625995854032E-5
72.74222206254655         2.3695447846347815E-5
72.74515599598477         2.3530571276778422E-5
73.00262268791481         9.061863708147272E-6
73.46065535171302         -1.667793439809551E-5
73.55360404452802         -2.190131861580782E-5
73.70393714696378         -3.034950148837402E-5
73.73641346101788         -3.217455422599765E-5
74.3027197115697          -6.399894079814106E-5
74.36498602650954         -6.7498085077678E-5
74.76602653282802         -9.003512769699211E-5
74.81700285790747         -9.289981491135299E-5
75.14478407142637         -1.1131994719828845E-4
75.17636800849104         -1.130948515396237E-4
75.88377204215709         -1.5284842905837078E-4
75.89759225479703         -7.37871040277215E-5
75.96682401256396         1.054877609892875E-5
76.01074049649664         1.340198010866213E-5
76.05897286711378         1.991672640696284E-5
76.27091317706825         1.0250588855220158E-4
77.13655287323895         4.2601963986210013E-4
77.17566666241183         4.4063755620675856E-4
77.24426627187401         4.6627514779785825E-4
77.43144242568654         2.960272478924764E-4
77.50877279390073         6.524568044772352E-5
77.63205257658832         1.7221316526270863E-4
77.98246173997927         2.75808723172711E-4
78.061719872446           2.7844251127634814E-4
78.07320312046487         2.788241054557957E-4
78.32155624241601         2.8707700617104464E-4
78.45363468634089         2.914660401230464E-4
78.53320872125097         2.9411032582584367E-4
78.6774056159243          2.9890206206734094E-4
78.69887464075138         2.996154886953209E-4
78.79452421646678         3.027939728053323E-4
79.04512871484854         3.111216879054873E-4
79.37234949186936         3.2199540096096923E-4
79.49732184978322         3.261482960557187E-4
79.51584531246867         3.267638401536951E-4
79.6890043575615          3.325180034025238E-4
79.92203182322608         3.4026162475474475E-4
80.00668063907966         3.430745480125871E-4
80.0672933678144          2.2567759025588313E-4
80.29530148917138         9.495644746563433E-5
80.33608637244707         9.29333758776574E-5
80.34475556964391         1.361435742760793E-4
80.35308257428417         1.7952146524983825E-4
80.39567196242866         1.7817975114567858E-4
81.07394456036148         1.5681180126990158E-4
81.2199366051535          1.5221254323565084E-4
81.28636914993403         1.5011968662998566E-4
81.62614576317121         1.3941553956183718E-4
82.01205431391574         1.5320118542683995E-4
82.38589339304217         1.5919768128012091E-4
82.62847319240856         1.4625455721604578E-4
83.1359406795116          1.1917804605864365E-4
83.18139279054353         1.167528964229332E-4
83.37713922423804         1.0630862042368333E-4
83.67179879337857         9.058672037267255E-5
84.58134442982598         4.2056867329189465E-5
84.68456533936396         3.6549397038339846E-5
