% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 27 2025, 10:47
% Dimension:          1
% Nodes:              682
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
49.189503203869805        0.017389755060476672
49.6037735594296          0.01406739429732629
49.87773556267001         0.011108867891842952
50.313804614315174        0.013334259638342907
50.32576998255223         0.01169017258722529
50.36327868536543         0.011782363815550576
50.815292518338225        0.012893351595888808
50.959486040217655        0.01324775942398167
51.33319402589751         0.014166282210716882
51.46235679817667         0.014483746525322088
51.64259939952605         0.014926758028484657
51.82271656168351         0.015369461219381274
52.28828082542856         0.016513754093300095
52.340618069242794        0.01664239183421126
52.60393861474351         0.017289597488160127
52.83014060502883         0.017639146848826823
53.41010347600346         0.016699192477126815
53.47070511941652         0.01662254421461907
53.94238315786268         0.016025971249368887
54.0821854091316          0.01584915096775708
54.101188637883666        0.01582511590230587
54.1278623107287          0.015791379347269895
54.832337912993026        0.014900366697254681
55.33423021323439         0.01426557908073392
55.52342307487325         0.012733594672441442
55.81238119178869         0.010108501800085143
56.08477012086155         0.012338277160065945
56.429114358416314        0.013061697308443341
56.58967309698471         0.0166211625730345
57.036098065125344        0.019999658366527014
57.61630658352047         0.01809045551572655
58.096654681704564        0.016509847976619252
58.674336812597744        0.014608958320244468
59.56108789286904         0.011691063052028529
59.80629640314913         0.010884193156078234
60.62164450944829         0.008201252662122818
60.759000528210805        0.007749276356567571
61.409293800734815        0.005609456394611214
61.93325899225147         0.003885324801144364
62.08607772061279         0.006145309493617404
62.50593524425034         0.008038085604689727
63.06943227284958         0.006870357558748707
63.175998253787384        0.0066495221712158095
63.40391989280177         0.006177202927909301
63.66126433002202         0.005643911177364259
63.78158709757432         0.005394567768073409
64.33132733955904         0.006403438406549282
64.62857696707792         0.0072080514365908364
64.96137948686552         0.008030410015536872
65.53211698744923         0.00945697573069177
65.92050154127404         0.00884455747048635
66.29509324422055         0.008253888256822564
66.39980687152453         0.00808877217065993
67.18901116956016         0.006844327409941715
67.35892892593301         0.006576395187325336
67.41095330992206         0.0072844093183914846
68.04283621004            0.007194647854315138
68.90290379555174         0.005997122821448764
69.46123043194345         0.00521973028293411
69.87142732827964         0.004648587898264612
70.17004940636915         0.004232798000002397
70.57650947932729         0.003666858624507879
71.5884436282726          0.0022578804286233277
72.07616252629974         0.001578799389844254
72.29726260269828         0.0012709481456907041
72.33190134663718         0.0012227184906349238
73.71565682460174         9.220132933629258E-4
73.79425034006468         0.002415585066476567
73.91942074944632         0.00220470338988944
74.4268308105143          0.0026562753969743965
74.70318742351557         0.0037756652229598295
75.50696752638082         0.0032316479793195216
75.70682645945548         0.0030963787614070788
76.39680765520626         0.002629383289713211
76.43280325659563         0.0026050206216386975
76.69182430858224         0.0024297090927214594
77.43644229253555         0.0030110480910904886
77.4786431168568          0.004053417668444106
77.62527279532004         0.0039042045459775796
77.99275906318914         0.0035302435984595508
78.17187028924192         0.0036299470731076195
78.45974639658175         0.003766113680034119
79.72258604637635         0.003126509189316405
79.95186718450745         0.0030103826125102793
80.35347705593054         0.0028069747789656613
80.55891949950474         0.002702922051831452
81.90419281306495         0.0020215664634645985
82.05104028743041         0.001947190984305057
82.5350838226191          0.0017020320531134676
82.65809260242769         0.0016397304236263005
84.08579957975353         9.166237376149018E-4
84.15021339035337         0.0011742590329565593
84.25469025528407         0.001392390851091877
84.8543610056648          0.0016442839773598743
85.21037351860107         0.002230529679634829
86.32770463698547         0.0019805730715480416
86.42825794826925         0.0019580784285484947
