x,Bz_ag,Bx_ag,B_ag
0.007035175879396984,0.01978577820140845,-4.130142484176271e-06,0.019785778632477588
0.008040201005025125,0.019795364162017826,-4.683317007394889e-06,0.019795364716022737
0.009045226130653266,0.01980615412324624,-5.237427395479361e-06,0.019806154815724068
0.010050251256281405,0.019818150122515782,-5.792585249917395e-06,0.019818150969064096
0.011055276381909547,0.01983135442700163,-6.348902674500475e-06,0.019831355443285324
0.012060301507537688,0.019845769534704044,-6.906492330870689e-06,0.019845770736462303
0.013065326633165827,0.01986139817563063,-7.465467492598488e-06,0.01986139957868399
0.014070351758793969,0.01987824331309223,-8.025942100928047e-06,0.01987824493334969
0.015075376884422108,0.01989630814510538,-8.588030821118184e-06,0.019896309998571598
0.01608040201005025,0.01991559610591927,-9.151849098545065e-06,0.01991559820870186
0.01708542713567839,0.019936110867647062,-9.717513216512196e-06,0.019936113235963986
0.018090452261306532,0.019957856342021716,-1.0285140353822198e-05,0.019957858992208772
0.01909547738693467,0.0199808366822649,-1.0854848643936764e-05,0.01998083963078333
0.02010050251256281,0.02000505628507772,-1.1426757234930706e-05,0.02000505954852193
0.021105527638190954,0.020030519792753228,-1.2000986349366602e-05,0.020030523387858646
0.022110552763819093,0.020057232095413546,-1.2577657345757623e-05,0.020057236039064594
0.023115577889447233,0.020085198333365466,-1.3156892781380315e-05,0.020085202642603696
0.024120603015075376,0.020114423899594246,-1.3738816476040304e-05,0.020114428591626616
0.025125628140703515,0.020144914442375855,-1.4323553576076219e-05,0.020144919534583163
0.026130653266331655,0.020176675868027686,-1.4911230620428265e-05,0.020176681377973172
0.027135678391959794,0.02020971434379066,-1.550197560694502e-05,0.020209720289228787
0.028140703517587937,0.020244036300853828,-1.6095918061469556e-05,0.020244042699739246
0.029145728643216077,0.020279648437506338,-1.6693189108672577e-05,0.02027965530800304
0.030150753768844216,0.020316557722439593,-1.7293921541138536e-05,0.020316565082930286
0.03115577889447236,0.020354771398201306,-1.7898249891786958e-05,0.020354779267296983
0.0321608040201005,0.02039429698478209,-1.8506310510264218e-05,0.020394305381331832
0.03316582914572864,0.020435142283363343,-1.9118241637429506e-05,0.020435151226464356
0.03417085427135678,0.020477315380225253,-1.9734183481428972e-05,0.02047732488923315
0.03517587939698492,0.020520824650795584,-2.0354278301393166e-05,0.02052083474533492
0.036180904522613064,0.020565678763882426,-2.0978670486369928e-05,0.020565689463857513
0.0371859296482412,0.02061188668605589,-2.1607506637115997e-05,0.020611898011661883
0.03819095477386934,0.020659457686209765,-2.2240935653129655e-05,0.020659469657944043
0.03919597989949748,0.02070840134029512,-2.2879108820636268e-05,0.02070841397896896
0.04020100502512562,0.020758727536232313,-2.3522179902003213e-05,0.020758740862982922
0.04120603015075376,0.020810446479006817,-2.4170305227854694e-05,0.020810460515309652
0.04221105527638191,0.020863568695962176,-2.4823643793951146e-05,0.020863583463643632
0.04321608040201005,0.020918105042259286,-2.548235735409816e-05,0.020918120563509755
0.04422110552763819,0.02097406670658234,-2.6146610524172718e-05,0.02097408300396963
0.045226130653266326,0.021031465217001256,-2.681657088392596e-05,0.021031482313484413
0.046231155778894466,0.021090312447072795,-2.7492409082121155e-05,0.021090330366016336
0.047236180904522605,0.02115062062215254,-2.8174298947230314e-05,0.021150639387341116
0.04824120603015075,0.02121240232592639,-2.8862417597177903e-05,0.02121242196157989
0.04924623115577889,0.021275670507175923,-2.955694555734311e-05,0.021275691037965044
0.05025125628140703,0.02134043848677515,-3.025806687903859e-05,0.021340459937837453
0.05125628140703517,0.021406719964937475,-3.09659692614832e-05,0.021406742361893952
0.05226130653266331,0.02147452902871065,-3.168084417869813e-05,0.021474552397682804
0.05326633165829145,0.021543880159729537,-3.240288701037349e-05,0.021543904527357025
0.05427135678391959,0.021614788242244772,-3.313229717686418e-05,0.02161481363570362
0.055276381909547735,0.0216872685714053,-3.3869278277679786e-05,0.02168729501842669
0.056281407035175875,0.02176133686186063,-3.461403823569194e-05,0.021761364390750347
0.057286432160804014,0.021837009256624254,-3.536678944578859e-05,0.021837037896282753
0.058291457286432154,0.0219143023362628,-3.612774892638704e-05,0.021914332116205953
0.05929648241206029,0.02199323312838581,-3.689713847984078e-05,0.021993264078766367
0.06030150753768843,0.022073819117469713,-3.7675184856658044e-05,0.022073851269099495
0.06130653266331658,0.022156078255010175,-3.84621199241672e-05,0.02215611163938302
0.06231155778894472,0.022240028970033195,-3.9258180841534966e-05,0.022240063619348726
0.06331658291457286,0.02232569017994697,-4.006361024018441e-05,0.02232572612713517
0.064321608040201,0.022413081301792263,-4.087865641533029e-05,0.02241311858053895
0.06532663316582914,0.022502222263846697,-4.1703573520373096e-05,0.022502260908619877
0.06633165829145728,0.02259313351765379,-4.2538621765104773e-05,0.022593173563730987
0.06733668341708542,0.022685836050456328,-4.3384067626619924e-05,0.022685877533952875
0.06834170854271356,0.022780351398053532,-4.4240184065626846e-05,0.02278039435595191
0.0693467336683417,0.022876701658118413,-4.51072507532406e-05,0.02287674612829867
